Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_3_Replicate_41	-11275.7	22559.4	21911.97	277980.79	1.4733,0.2658,0.2315,0.073
three_epoch	Round_3_Replicate_42	-20188.72	40385.44	40222.07	2715879.9	0.7927,0.0347,0.0409,0.0968
three_epoch	Round_3_Replicate_43	-5894.9	11797.8	11485.92	284720.76	0.8706,0.0904,0.3396,0.0109
three_epoch	Round_3_Replicate_44	-7302.2	14612.4	14339.34	288852.57	0.831,0.1384,0.0997,0.0219
three_epoch	Round_3_Replicate_45	-12260.55	24529.1	23615.83	269545.55	2.0531,0.3008,0.2193,0.0919
three_epoch	Round_3_Replicate_46	-12144.84	24297.68	23708.87	336063.45	0.4805,0.1858,0.2616,0.0172
three_epoch	Round_3_Replicate_47	-10946.17	21900.34	21547.8	301863.53	0.499,0.2119,0.0713,0.0356
three_epoch	Round_3_Replicate_48	-12742.53	25493.06	24651.79	286143.18	1.977,0.2845,0.0363,0.0755
three_epoch	Round_3_Replicate_49	-7643.59	15295.18	14889.21	288548.1	0.6516,0.1205,0.1731,0.0115
three_epoch	Round_3_Replicate_50	-14270.87	28549.74	27571.65	294744.6	0.4443,0.2944,0.0885,0.0409
three_epoch	Round_4_Replicate_1	-2408.97	4825.94	4563.42	230551.4	3.7888,0.0483,0.3911,0.0102
three_epoch	Round_4_Replicate_2	-2663.14	5334.28	5074.87	228035.21	2.2814,0.0563,0.5197,0.0106
three_epoch	Round_4_Replicate_3	-3443.81	6895.62	6620.02	248219.61	2.2905,0.0751,0.308,0.0143
three_epoch	Round_4_Replicate_4	-3052.29	6112.58	5859.86	239667.34	1.9749,0.0618,0.4473,0.0112
three_epoch	Round_4_Replicate_5	-4022.98	8053.96	7683.45	241639.94	3.1166,0.1108,0.3052,0.0233
three_epoch	Round_4_Replicate_6	-2549.36	5106.72	4809.08	204436.42	3.9425,0.0838,0.6484,0.0193
three_epoch	Round_4_Replicate_7	-2470.33	4948.66	4685.89	217234.5	3.4139,0.0665,0.549,0.0146
three_epoch	Round_4_Replicate_8	-2573.67	5155.34	4846.01	216824.35	2.8544,0.062,0.5461,0.0122
three_epoch	Round_4_Replicate_9	-3880.08	7768.16	7461.29	238650.1	2.7254,0.1111,0.3894,0.0242
three_epoch	Round_4_Replicate_10	-3689.73	7387.46	7065.61	244873.77	2.1106,0.0873,0.3342,0.0161
three_epoch	Round_4_Replicate_11	-1945.93	3899.86	3637.69	203970.34	4.5237,0.0468,0.6268,0.0107
three_epoch	Round_4_Replicate_12	-2251.38	4510.76	4243.68	205890.52	4.5387,0.0676,0.6212,0.016
three_epoch	Round_4_Replicate_13	-4249.42	8506.84	8179.85	233857.4	1.5958,0.1109,0.6645,0.0189
three_epoch	Round_4_Replicate_14	-3167.6	6343.2	6072.55	227771.47	2.786,0.0901,0.4979,0.0195
three_epoch	Round_4_Replicate_15	-5747.99	11503.98	11154.05	267579.76	1.3354,0.1321,0.2367,0.0227
three_epoch	Round_4_Replicate_16	-4487.56	8983.12	8589.9	253303.36	1.3182,0.0833,0.3481,0.0115
three_epoch	Round_4_Replicate_17	-1884.11	3776.22	3529.14	203686.49	4.4778,0.0445,0.6437,0.0103
