Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_2	-963269.19	1926560.38	5559805.44	113480.01	1.3242,0.3239,0.3078,3.021,1.1453,1.0205,14.8852,4.0939,0.392,1.6722,0.9001
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_3	-373102.59	746227.18	745554.94	76970.87	1.1746,3.2813,0.9467,10.0884,1.1771,0.5876,1.7016,1.83,0.7383,2.8562,0.2684
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_4	-759350.54	1518723.08	3043277.5	165944.22	0.3992,0.2364,0.2798,1.9301,0.4006,0.4418,20.985,2.7336,0.5386,2.7304,0.4909
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_5	-977401.22	1954824.44	3269968.27	46609.43	0.2711,2.2806,0.6524,13.6879,0.4487,2.197,3.1232,0.819,0.0716,6.6407,0.7335
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_6	-469793.06	939608.12	939178.13	133792.55	0.8564,1.3586,0.2379,1.9688,0.9036,3.5303,17.7588,0.7745,0.2017,1.349,0.1462
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_7	-646220.16	1292462.32	1581528.99	121377.97	0.2152,1.5794,0.2733,1.8431,0.2831,2.5962,3.3741,0.6827,0.2114,4.5229,0.2055
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_8	-386604.68	773231.36	844341.62	85609.98	0.6224,1.3912,1.6311,2.7048,1.7872,1.4056,6.3873,1.1638,0.6146,1.2756,0.5388
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_9	-509969.38	1019960.76	1416634.49	83572.94	0.1428,0.8337,1.4818,6.7683,0.4159,0.7928,6.6702,1.079,0.4175,2.5655,0.6047
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_10	-324159.5	648341.0	862441.2	115797.85	0.505,0.469,0.8942,1.3478,0.6934,0.4513,1.5575,0.6903,0.3778,8.8938,0.3493
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_11	-298831.4	597684.8	592505.91	114282.09	0.5257,2.844,1.1091,1.3785,1.1033,1.0739,3.6925,2.1353,0.5617,1.0928,0.2644
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_12	-708287.86	1416597.72	2307018.09	69870.8	0.9925,0.4334,0.5086,5.855,0.5848,0.844,18.4062,2.9903,0.4123,7.0162,0.7775
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_13	-2308780.45	4617582.9	76195775.85	132553.99	0.1924,0.9578,0.2579,1.596,0.2787,2.5363,22.5397,1.1303,0.2188,0.8613,1.1175
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_14	-187325.55	374673.1	341650.47	105042.25	1.4564,1.5775,3.2018,2.0322,0.2217,0.5479,5.1644,0.7042,0.8663,4.7828,0.2133
