Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_2_Replicate_4	-152319.34	304652.68	833686.66	11292.69	1.7483,1.2974,0.7463,0.2304,1.2973,0.4393,0.984
sec_contact_asym_mig_three_epoch	Round_2_Replicate_5	-195510.58	391035.16	1238873.7	10313.91	1.2416,3.1216,0.1515,0.3481,1.0005,0.4593,0.2008
sec_contact_asym_mig_three_epoch	Round_2_Replicate_6	-183039.73	366093.46	1586919.36	9632.28	2.5692,0.7241,0.4647,0.387,2.668,0.2316,1.3547
sec_contact_asym_mig_three_epoch	Round_2_Replicate_7	-248598.18	497210.36	3336051.08	13636.91	1.8263,0.5498,0.1122,0.4815,0.5918,0.6064,1.3472
sec_contact_asym_mig_three_epoch	Round_2_Replicate_8	-281643.62	563301.24	9701560.88	5562.49	5.9703,1.2917,0.1184,0.1582,3.8623,0.1381,1.0375
sec_contact_asym_mig_three_epoch	Round_2_Replicate_9	-100222.66	200459.32	373983.21	3653.22	7.6106,3.1323,1.0564,0.2303,6.5119,0.9625,0.1099
sec_contact_asym_mig_three_epoch	Round_2_Replicate_10	-148911.93	297837.86	699166.38	7507.59	8.4136,2.9903,0.1453,0.4019,0.4567,0.2873,0.4707
sec_contact_asym_mig_three_epoch	Round_2_Replicate_11	-235088.84	470191.68	3236985.92	6614.18	5.9508,0.8449,0.2119,0.2016,2.1815,0.3851,0.8824
sec_contact_asym_mig_three_epoch	Round_2_Replicate_12	-325288.98	650591.96	27693208.68	5801.55	2.0866,3.2247,0.1764,0.0843,6.5599,0.1464,1.6127
sec_contact_asym_mig_three_epoch	Round_2_Replicate_13	-345826.31	691666.62	12983554.76	7833.3	4.0404,0.269,0.9464,0.1581,3.6347,0.5448,0.1094
