Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_2_Replicate_19	-7772.93	15551.86	15319.77	287833.66	11.5484,0.132,0.1898
bottlegrowth	Round_2_Replicate_20	-8484.64	16975.28	16519.45	272881.61	8.3321,0.1846,0.2465
bottlegrowth	Round_2_Replicate_21	-22619.86	45245.72	42998.85	648316.94	0.953,0.1863,0.8337
bottlegrowth	Round_2_Replicate_22	-19301.56	38609.12	38487.98	1301562.27	10.5275,0.0675,0.9719
bottlegrowth	Round_2_Replicate_23	-62978.2	125962.4	113057.51	175784.27	2.0255,1.03,0.4597
bottlegrowth	Round_2_Replicate_24	-8463.3	16932.6	16350.94	264223.66	10.612,0.1966,0.2713
bottlegrowth	Round_2_Replicate_25	-10378.59	20763.18	20375.96	290661.1	3.6063,0.1993,0.2467
bottlegrowth	Round_2_Replicate_26	-76932.39	153870.78	140095.62	171595.83	3.3703,0.9799,0.2696
bottlegrowth	Round_2_Replicate_27	-6942.23	13890.46	13560.62	276299.52	12.832,0.1369,0.1737
bottlegrowth	Round_2_Replicate_28	-12791.53	25589.06	24924.41	295957.26	1.9075,0.2468,0.2686
bottlegrowth	Round_2_Replicate_29	-18829.73	37665.46	37613.19	497327.74	10.1534,0.1631,1.2147
bottlegrowth	Round_2_Replicate_30	-6104.8	12215.6	11895.15	277567.2	4.9919,0.1005,0.0786
bottlegrowth	Round_3_Replicate_1	-10120.48	20246.96	19631.96	280913.61	2.6355,0.2108,0.1957
bottlegrowth	Round_3_Replicate_2	-5739.48	11484.96	11206.3	281587.55	6.4293,0.0675,0.0427
bottlegrowth	Round_3_Replicate_3	-19486.68	38979.36	38728.57	3300881.98	5.4464,0.0282,0.5419
bottlegrowth	Round_3_Replicate_4	-10312.85	20631.7	19950.6	280217.24	2.135,0.2149,0.1761
bottlegrowth	Round_3_Replicate_5	-4377.09	8760.18	8517.42	277131.59	1.3963,0.0268,0.0127
bottlegrowth	Round_3_Replicate_6	-6128.93	12263.86	11996.17	283025.78	2.3087,0.0915,0.0587
bottlegrowth	Round_3_Replicate_7	-6199.67	12405.34	12125.3	282168.44	1.7773,0.095,0.055
bottlegrowth	Round_3_Replicate_8	-5770.37	11546.74	11255.55	278554.12	5.1474,0.0862,0.0651
bottlegrowth	Round_3_Replicate_9	-8851.33	17708.66	16998.35	270981.84	2.5679,0.1838,0.1284
bottlegrowth	Round_3_Replicate_10	-9270.0	18546.0	18252.03	329284.47	15.8487,0.0717,0.0256
bottlegrowth	Round_3_Replicate_11	-9705.56	19417.12	18592.13	265810.69	4.8533,0.2196,0.2313
bottlegrowth	Round_3_Replicate_12	-8063.0	16132.0	15652.72	278561.27	1.7166,0.1568,0.0943
bottlegrowth	Round_3_Replicate_13	-10102.94	20211.88	19628.93	281282.7	2.9992,0.2104,0.2119
bottlegrowth	Round_3_Replicate_14	-10276.73	20559.46	19654.36	254071.91	9.0309,0.252,0.3699
bottlegrowth	Round_3_Replicate_15	-9684.47	19374.94	18770.49	281180.39	1.6625,0.1972,0.1342
bottlegrowth	Round_3_Replicate_16	-11290.93	22587.86	22323.85	381627.33	27.7215,0.1052,0.065
bottlegrowth	Round_3_Replicate_17	-8535.0	17076.0	16562.82	277314.75	3.4368,0.1763,0.1566
bottlegrowth	Round_3_Replicate_18	-5700.47	11406.94	11121.41	278831.22	3.9743,0.0827,0.0578
bottlegrowth	Round_3_Replicate_19	-10372.9	20751.8	20379.73	335775.51	22.5075,0.1093,0.0458
bottlegrowth	Round_3_Replicate_20	-10286.69	20579.38	20238.88	339274.24	20.2123,0.1036,0.0443
bottlegrowth	Round_3_Replicate_21	-5477.48	10960.96	10680.64	278275.27	2.3838,0.0737,0.0429
